Element, g_debug
713, -1763.52283
714,  5407.40674
715, -633.03302
716, -485.6825
717,  30974.49023
718, -3218.35449
719, -3544.56738
720,  13621.75684
721, -663.49292
722, -615.77173
723,  14452.86133
724, -1584.16187
725, -5575.12256
726,  55245.8125
727, -15170.94336
728, -13318.32715
729,  5198.10303
730, -7.80536
731, -1364.03772
732,  8206.28711
733, -1892.09314
734, -47.4964
735,  44634.89453
736, -11548.13379
737, -4216.89258
738,  13521.56641
739, -2499.43994
740,  728.25281
741,  29040.72266
742, -602.3457
743, -7174.72461
744,  3781.23071
745, -1109.30359
746,  364.77057
747,  7498.90283
748,  1319.52441
749, -916.22192
750,  20337.13281
751, -390.78436
752, -1519.44067
753,  14777.33398
754, -340.05209
755, -2113.84888
756,  8828.74414
757,  129.07458
758,  130.61043
759,  32012.05664
760, -3280.49365
761, -7229.98242
762,  15630.0625
763, -821.5799
764, -2772.00
765,  43018.32031
766, -6636.67725
767, -5418.05811
768,  10966.24023
769, -2028.65698
770, -3050.75903
771,  4719.47998
772, -1192.63342
773, -1650.61816
774,  8028.5498
775, -1090.14526
776, -2415.3042
777,  31565.63281
778, -6562.75488
779, -7363.73535
780,  32309.04688
781,  563.76746
782, -4510.91211
783,  37034.78125
784, -6256.5249
785, -2016.41016
786,  20567.62891
787, -1874.57166
788, -1807.0332
789,  32316.95898
790,  1159.65625
791, -7901.29932
792,  22515.22461
793, -2474.5376
794, -4704.47803
795,  33342.99609
796, -8894.39258
797, -3983.10669
798,  4615.79004
799, -1057.38794
800, -918.76807
801,  16657.63867
802, -2560.23828
803, -5259.76074
804,  25410.29297
805, -5023.89941
806, -2687.58887
807,  33876.67188
808, -11488.30176
809, -3781.81616
810,  20463.22266
811, -4072.00391
812, -4840.63086
813,  26891.87305
814, -11615.97461
815, -2285.07715
816,  9889.13184
817, -2121.67505
818,  553.74469
819,  30751.16602
820,  3192.25488
821, -7218.47656
822,  37878.18359
823, -8384.01953
824, -56.1078
825,  4102.55322
826, -1515.88672
827, -457.79089
828,  24786.45313
829, -4462.24023
830, -3286.46558
831,  10722.59082
832,  95.61089
833, -2977.07544
834,  92553.10938
835, -19509.30078
836,  61.42163
837,  10437.0293
838, -1510.97192
839, -1414.46558
840,  43438.69531
841, -9192.68652
842, -2131.84424
843,  10070.62695
844, -5779.34766
845,  847.17163
846,  10785.36816
847, -3964.96802
848,  827.27216
849,  14265.53027
850, -5770.07178
851, -353.60278
852,  7927.11084
853, -2741.07715
854,  106.2648
855,  10918.13672
856, -5189.78857
857,  763.81201
858,  17881.27734
859, -5336.94531
860, -5981.34082
861,  26419.23828
862,  11912.66992
863, -3174.15259
864,  33962.10547
865, -8307.06055
866,  2863.31836
867,  12829.51563
868, -5941.85938
869,  1308.45996
870,  10328.75098
871, -2602.98267
872,  512.26709
873,  10801.80664
874, -1303.33911
875, -336.10699
876,  19990.2793
877, -5817.41406
878, -2391.22778
879,  9169.87598
880, -1746.29663
881,  653.35773
882,  8399.6123
883, -476.30054
884, -2802.52344
885,  29934.63477
886, -13227.95117
887, -1699.71838
888,  53933.42969
889,  7181.27344
890, -14184.09473
891,  22679.10938
892, -3391.85254
893, -2973.34009
894,  13128.39844
895, -4746.52197
896,  691.74261
897,  40531.56641
898, -4582.66895
899, -13745.96582
900,  17759.70508
901,  166.36133
902, -4649.4668
903,  5678.20361
904, -1364.89355
905,  281.95239
906,  22891.75
907, -7548.91357
908, -800.99194
909,  22747.44531
910, -9138.73242
911,  668.2959
912,  36030.17578
913, -8199.00293
914, -393.05533
915,  43785.69141
916, -4727.5083
917, -2216.82153
918,  8321.28027
919, -2742.27075
920,  888.90997
921,  34440.24219
922, -9483.88379
923, -2716.23413
924,  16402.06055
925, -738.97961
926, -5605.43164
927,  27699.79492
928, -8225.22559
929,  3853.32617
930,  12627.92871
931, -3441.98169
932, -82.98878
933,  13320.77637
934, -739.34094
935, -1554.28113
936,  38974.91797
937, -4923.19922
938, -3247.66333
939,  7423.77881
940, -2768.48169
941,  345.85355
942,  9358.76465
943,  484.23395
944, -801.16541
945,  13650.80566
946, -4159.18359
947,  143.55118
948,  17694.80469
949, -5622.30225
950,  122.33869
951,  12444.63184
952, -1013.33704
953, -644.3161
954,  14258.02832
955, -3548.38184
956, -847.5401
957,  16909.6582
958, -4236.99658
959,  42.23257
960,  14938.13281
961, -6450.60059
962, -340.23047
963,  3783.49902
964, -192.18893
965, -744.00513
966,  24063.42969
967, -9283.26758
968, -377.93973
969,  26101.14453
970, -6890.94043
971, -1493.27148
972,  11781.64258
973,  3082.57935
974, -523.64752
975,  18487.04297
976, -1398.22241
977, -2688.32202
978,  31124.87109
979, -8007.11328
980, -4031.927
981,  29603.77344
982, -7840.39746
983,  4206.09082
984,  13828.14453
985, -3385.44214
986, -1181.80774
987,  23502.6582
988, -1894.99414
989, -388.0463
990,  8348.06055
991, -830.57227
992, -1007.77856
993,  9515.74902
994, -3088.69263
995, -1531.48389
996,  30091.67969
997, -6368.104
998, -2508.22705
999,  14807.04688
1000, -1981.16992
1001, -955.8053
1002,  9708.53027
1003, -2312.18726
1004,  282.83643
1005,  18035.37891
1006, -4453.08496
1007, -4039.31152
1008,  12588.48926
1009, -3814.23779
1010,  262.51083
1011,  5919.36572
1012, -1168.02136
1013,  157.08296
1014,  31161.75781
1015, -7386.37842
1016,  1387.29968
1017,  16228.61523
1018, -2722.61694
1019, -1326.50793
1020,  20274.89063
1021, -5787.75586
1022, -1026.34473
1023,  16450.44336
1024, -4385.18457
1025,  201.70801
1026,  22541.17969
1027, -3167.00928
1028, -3670.67236
1029,  7797.45752
1030, -1692.69641
1031, -2174.70776
1032,  6136.29199
1033, -1752.44849
1034,  1580.53992
1035,  22646.10156
1036, -5494.14307
1037, -1011.3775
1038,  6043.42383
1039, -316.2785
1040, -222.99493
1041,  13881.10254
1042, -2873.90039
1043, -2835.04443
1044,  10236.47949
1045, -2469.37085
1046, -2985.92847
1047,  28922.38281
1048, -7860.4165
1049, -5742.04932
1050,  40977.30078
1051, -10138.10742
1052,  973.20734
1053,  18142.9707
1054, -4753.37012
1055,  1528.37183
1056,  8640.1582
1057, -2588.78906
1058, -1194.95544
1059,  24901.64063
1060, -4041.16772
1061, -735.08258
1062,  23341.21289
1063, -3343.72876
1064,  936.82733
1065,  64656.87891
1066, -17624.4707
1067, -2798.40088
1068,  16382.87891
1069, -3226.87866
1070,  1396.61951
